River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.60,4.90,Alert,Rising,-,,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.98,8.03,Minor Flood,Rising,144.1,,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,16.63,16.63,Minor Flood,,194.4,,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.19,2.15,Normal,,9,,,3.4,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.75,2.50,Normal,,159.1,,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.53,2.31,Normal,,200.1,,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.15,1.13,Normal,,,37.5,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.34,3.37,Alert,Rising,9,,,2.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.52,9.54,Normal,,116,,,,.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,-,-,,,-,,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.95,5.99,Alert,Rising,113,,,,.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.07,7.10,Minor Flood,Rising,9,,,4.8,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,5.52,5.46,Alert,Falling,126,,,,.6,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.36,3.39,Normal,,,35.0,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.01,1.02,Normal,,,24.4,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.37,5.46,Alert,Rising,,39.6,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.40,2.34,Normal,,,,62.3,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.09,1.09,Normal,,,44.0,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.12,4.20,Normal,,,25.2,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.05,4.13,Normal,,,,68.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.95,4.97,Minor Flood,Rising,114,,,,.4,,
