පළාත,ජනවාරි 09,,,ජනවාරි 10,,,ජනවාරි 11
උතුර,,පැ.කි.මී. (60-70) දක්වා,,,පැ.කි.මී. (60-70) දක්වා,,"ෙැ.කි.මි.(40-50) ෙමණ දක්වා
වන තරමක තද සුළං"
,,වන ඉතා තෙ සුළං සමඟ,,,වන ඉතා තෙ සුළං සමඟ,,
,,විටින් විට හමන පැ.කි.මී.,,,විටින් විට හමන පැ.කි.මී.,,
,,80 දක්වා වන ප්‍රහාරාත්මක,,,80 දක්වා වන,,
,,සුළං,,,ප්‍රහාරාත්මක සුළං,,
උතුරු-මැෙ,,පැ.කි.මී. (60-70) දක්වා,,,පැ.කි.මී. (60-70) දක්වා,,"ෙැ.කි.මි.(40-50) ෙමණ දක්වා
වන තරමක තද සුළං"
,,වන ඉතා තෙ සුළං සමඟ,,,වන ඉතා තෙ සුළං සමඟ,,
,,විටින් විට හමන පැ.කි.මී.,,,විටින් විට හමන පැ.කි.මී.,,
,,80 දක්වා වන ප්‍රහාරාත්මක,,,80 දක්වා වන,,
,,සුළං,,,ප්‍රහාරාත්මක සුළං,,
නැකගනහිර,,පැ.කි.මී. (60-70) දක්වා,,"විටින් විට ෙැ.කි.මි.(50-
60) ෙමණ දක්වා වන තද
සුළං",,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං"
,,වන ඉතා තෙ සුළං සමඟ,,,,,
,,විටින් විට හමන පැ.කි.මී.,,,,,
,,80 දක්වා වන ප්‍රහාරාත්මක,,,,,
,,සුළං,,,,,
සබරගමුව,"ෙැ.කි.මි.(40-50) ෙමණ
දක්වා වන තරමක තද සුළං",ෙැ.කි.මි.(40-50) ෙමණ,,"විටින් විට ෙැ.කි.මි.(30-
40) ෙමණ දක්වා වන සුළං",,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං"
,,දක්වා වන තරමක තද සුළං,,,,,
බස්නාහිර,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,,"ෙැ.කි.මි.(40-50) ෙමණ
දක්වා වන තරමක තද
සුළං",,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං"
දකුණ,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං",,,"විටින් විට ෙැ.කි.මි.(30-
40) ෙමණ දක්වා වන සුළං",,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං"
ඌව,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,,"විටින් විට ෙැ.කි.මි.(30-
40) ෙමණ දක්වා වන සුළං",,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං"
වයඹ,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,,,විටින් විට ෙැ.කි.මි.(50-,,"ෙැ.කි.මි.(40-50) ෙමණ දක්වා
වන තරමක තද සුළං"
,,,,,60) ෙමණ දක්වා වන තද,,
,,,,,සුළං,,
මධ්‍යම,,විටින් විට ෙැ.කි.මි.(60-70),,,ෙැ.කි.මි.(40-50) ෙමණ,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං"
,,ෙමණ දක්වා වන ඉතා තද,,,දක්වා වන තරමක තද,,
,,සුළං,,,සුළං,,
