River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.00,3.20,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,6.72,6.79,Alert,Rising,7.4,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,15.60,15.55,Minor Flood,Falling,28.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.58,2.50,Normal,,91.1,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,2.58,2.24,Normal,,64.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,2.56,2.41,Normal,,77.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.58,1.53,Alert,Falling,67.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.24,2.28,Normal,,7.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.55,8.60,Normal,,48.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.50,6.45,Alert,Falling,47.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.60,5.62,Alert,Rising,74.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.08,6.10,Alert,Rising,20.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.68,3.71,Alert,Rising,14.5,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.45,5.40,Alert,Falling,41.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.39,1.40,Alert,Rising,21.8,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.25,6.17,Minor Flood,Falling,38.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.77,2.65,Normal,,26.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.49,1.44,Normal,,31.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.94,1.20,Normal,,11.6,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.08,1.09,Normal,,3.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.88,0.87,Normal,,1.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.08,1.09,Normal,,2.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.5,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.23,-0.23,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,5.13,5.00,Alert,Falling,47.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.00,2.85,Normal,,91.6,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.41,0.38,Normal,,15.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.70,1.74,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,3.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,31.7,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,60.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.24,-0.23,Normal,,1.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.09,4.19,Normal,,18.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.54,3.42,Normal,,78.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.38,3.43,Alert,Rising,31.7,
