ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -14,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,21,95,75,වැසි වාර කිහිපයක්
මඩකලපුව,30,23,95,75,වැසි වාර කිහිපයක්
හකාළඹ,30,23,95,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ොල්ල,30,24,90,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යාපනය,28,22,95,75,වැසි වාර කිහිපයක්
ම නුවර,30,19,95,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
නුවරඑළිය,19,12,95,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
රත්නපුරය,33,22,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ත්‍රිකුණාමලය,30,23,95,75,වැසි වාර කිහිපයක්
මන්නාරම,29,24,95,75,වැසි ස්වල්පයක්
