River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
PM",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,1.90,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.20,3.18,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.15,11.35,Normal,,49.8,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.81,Normal,,0.0,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.96,1.04,Normal,,,14.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.51,1.33,Normal,,41,,,.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.07,1.05,Normal,,,10.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.88,1.84,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.66,6.66,Normal,,,,23.1,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.30,2.33,Normal,,,13.2,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.32,2.33,Normal,,,10.2,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.25,5.23,Alert,Falling,74.0,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.26,2.42,Normal,,,10.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.26,4.23,Minor Flood,Falling,0.5,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.39,2.31,Minor Flood,Falling,1.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.80,5.79,Alert,Falling,3.2,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.82,1.84,Normal,,1.8,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.99,0.99,Normal,,0.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.24,3.19,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.94,1.97,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.30,2.32,Normal,,0.5,,,,
