River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
08:00 pm","Water
Level at
09:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.60,2.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.45,4.42,Normal,,4.1,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.63,11.56,Normal,,,13.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.92,1.80,Normal,,3.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.13,1.12,Normal,,3.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.12,1.08,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.84,Normal,,2.1,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.56,3.55,Alert,Falling,5.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.88,8.83,Normal,,3.7,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.77,3.70,Normal,,,11.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.97,3.94,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.09,7.08,Minor Flood,Falling,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.89,2.91,Normal,,4.6,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.29,4.28,Minor Flood,Falling,22.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.60,2.60,Minor Flood,,34.2,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.85,6.87,Minor Flood,Rising,23.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.04,2.98,Normal,,29.3,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.19,2.14,Normal,,27.9,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.38,3.37,Normal,,,14.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.98,1.96,Normal,,7.3,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.64,3.62,Alert,Falling,3.9,,,
