River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.80,0.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.79,0.78,Normal,,7.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.10,9.71,Normal,,9.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,4.59,3.94,Alert,Falling,43.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.24,0.25,Normal,,6.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,5.49,4.82,Alert,Falling,20.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.59,0.65,Normal,,21.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.50,0.44,Normal,,9.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.40,4.43,Normal,,20.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.38,6.74,Alert,Rising,9.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.37,1.51,Normal,,33.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.96,1.92,Normal,,9.2,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.14,4.42,Alert,Rising,63.2,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.43,1.55,Normal,,16.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.60,0.64,Normal,,19.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.02,4.17,Normal,,54.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.67,2.07,Normal,,30.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.16,1.58,Normal,,21.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.79,0.80,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.12,-0.13,Normal,,4.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.47,0.47,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.97,0.97,Normal,,7.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.11,-0.12,Normal,,23.8,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.69,0.69,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.43,Normal,,9.6,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.06,0.06,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.08,-1.09,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.06,0.05,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.05,-3.04,Normal,,1.7,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.90,2.45,Normal,,38.8,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,4.50,4.96,Alert,Rising,27.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.19,0.19,Normal,,0.0,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.60,0.58,Normal,,5.4,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.43,0.43,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.98,0.99,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.12,0.12,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.03,1.03,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.87,1.87,Normal,,0.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.84,0.84,Normal,,0.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.62,0.62,Normal,,0.8,
