"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 14th June 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
,,,Kolonna,Cutting Failure,2025.06.12,1,5,,,,,1,,,,,,
,,,Ehaliyagoda,High wind,2025.06.12,7,24,,,,,7,,,,,,
,,,Palmadulla,"High wind/Cutting
Failure",2025.06.12,3,11,,,,,3,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,50,188,1,21,0,0,49,1,1,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,50,188,1,21,0,0,49,1,1,0,0,0,
"දකුණු පලාත
njd; khfhzk;
Southern",3,"ගාල්ල
fhyp
Galle",Elpitiya,High wind,2025.06.13,1,3,,,,,1,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,1,3,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,1,3,0,0,0,0,1,0,0,0,0,0,
,4,"අම්පාර
mk;ghiw
Ampara",Akkaraipattu,"Heavy Rain and High
Wind",2025.06.12,2,6,,,,,2,,,,,,
,,,Addalaichenai,,,1,9,,,,,1,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,3,15,0,0,0,0,3,0,0,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,3,15,0,0,0,0,3,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,93,339,1,21,0,0,87,1,1,0,0,0,
ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
