River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,1.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.84,3.82,Normal,,10.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.70,11.90,Normal,,15.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.05,1.96,Normal,,27.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.74,1.72,Normal,,38.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.03,1.86,Normal,,17.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.38,1.36,Normal,,36.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.18,2.19,Normal,,9.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.28,8.31,Normal,,13.8,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.75,6.71,Alert,Falling,30.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.66,4.68,Alert,Rising,26.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.06,6.08,Alert,Rising,6.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.95,2.97,Normal,,34.4,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.60,3.67,Normal,,23.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.91,0.90,Normal,,1.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.24,4.31,Normal,,28.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.47,1.60,Normal,,6.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.60,1.82,Normal,,24.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.25,1.25,Normal,,3.4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.58,0.61,Normal,,18.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.71,0.71,Normal,,6.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.38,1.38,Normal,,16.2,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.00,0.00,Normal,,11.8,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.62,0.62,Normal,,2.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.38,Normal,,1.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,2.9,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.18,-0.18,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.50,2.82,Normal,,5.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.32,2.21,Normal,,28.8,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.24,0.24,Normal,,2.6,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.25,1.25,Normal,,1.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,2.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,6.8,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,3.4,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.61,0.62,Normal,,7.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.50,3.49,Normal,,7.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.40,2.39,Normal,,6.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.06,3.06,Normal,,16.9,
