River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
midnight"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.55,3.78,Normal,,22.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.73,13.02,Normal,,42.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.87,1.91,Normal,,47.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.36,2.36,Normal,,80.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.61,2.47,Normal,,77.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.65,0.65,Normal,,14.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.99,2.03,Normal,,12.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.70,7.78,Normal,,72.3
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.69,3.88,Normal,,44.3
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.85,3.90,Normal,,28.1
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.52,5.52,Alert,,42.5
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.11,2.12,Normal,,8.1
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.09,3.16,Normal,,22.1
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.88,0.90,Normal,,7.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.97,3.99,Normal,,6.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.40,1.40,Normal,,13.1
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.07,1.12,Normal,,12.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.96,0.98,Normal,,7.9
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.34,0.34,Normal,,0.7
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.54,0.54,Normal,,1.6
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.17,1.17,Normal,,4.8
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.12,-0.12,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.60,0.60,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.37,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.07,0.07,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.13,-0.13,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.68,2.92,Normal,,7.6
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.58,1.62,Normal,,29.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.26,0.27,Normal,,30.5
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.28,1.28,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.54,0.55,Normal,,42.4
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.60,2.67,Normal,,37.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.92,2.22,Normal,,67.2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.32,3.50,Alert,Rising,67.8
