දින්‍ය : 2026-01-29,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,30,22,90,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,30,22,90,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,34,23,85,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,30,24,90,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,30,21,90,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,31,17,90,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,22,9,85,40,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,34,21,95,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ිකුණොමලය,30,23,85,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,30,24,85,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
