දින්‍ය : 2026-03-04,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,32,20,95,45,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,30,23,90,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,32,25,85,50,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,29,25,80,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,31,21,95,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,32,16,90,35,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,21,8,65,35,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,35,22,95,45,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ිකුණොමලය,30,21,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,31,22,95,50,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
