River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.40,2.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.87,3.94,Normal,,10.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.26,12.32,Normal,,15.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.95,1.90,Normal,,29.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.56,1.44,Normal,,38.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.47,1.52,Normal,,17.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.37,1.37,Normal,,36.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.24,2.25,Normal,,9.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.34,8.35,Normal,,13.8,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.49,6.44,Alert,Falling,30.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.72,4.73,Alert,Rising,26.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.10,6.14,Alert,Rising,6.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.00,3.03,Normal,,34.4,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.69,3.67,Normal,,23.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.93,0.94,Normal,,1.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.47,4.56,Normal,,28.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.88,1.97,Normal,,6.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.95,1.83,Normal,,24.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.22,1.20,Normal,,3.4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.65,0.66,Normal,,18.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.71,0.71,Normal,,6.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.36,1.36,Normal,,16.2,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.03,0.04,Normal,,11.8,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.63,0.66,Normal,,2.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.38,Normal,,1.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,2.9,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.19,-0.19,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.26,3.32,Normal,,5.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.02,1.98,Normal,,28.8,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.23,0.23,Normal,,2.6,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.25,1.25,Normal,,1.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.52,0.52,Normal,,2.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,6.8,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,3.4,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.63,0.63,Normal,,7.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.47,3.45,Normal,,8.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.35,2.32,Normal,,6.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.06,3.06,Normal,,16.9,
