දිනය : 2026-05-11,,,,,
න රය,උෂ්ණත්වය(ලස. අංශක),,සාලේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිෙ,අවෙ,උපරිෙ,අවෙ,
අනුරාධපුරය,33,26,95,70,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,33,26,95,70,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,31,26,90,75,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,25,95,80,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,30,26,90,70,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ම නුවර,30,23,95,70,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,22,15,95,80,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,32,25,95,70,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,32,25,95,65,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මන්නාරම,33,27,90,75,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
