"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s
,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,,"Passara and
Ella
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Colombo,,"↑ Seethawaka and
↑ Padukka
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Galle,"Neluwa,
Akmeemana,
Nagoda,
Galle Four Gravets and
Yakkalamulla
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Baddegama and
Elpitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Gampaha,"* Mirigama,
* Attanagalla and
* Dompe
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kalutara,"Horana,
Walallawita and
Ingiriya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Agalawatta,
Mathugama,
Bulathsinhala,
↑ Dodangoda and
Palindanuwara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kandy,,"* Pathadumbara,
* Minipe,
* Medadumbara,","↑↑ Harispattuwa,
↑↑ Doluwa,
↑↑ Yatinuwara,"
