,,"* Poojapitiya,
* Ududumbara,
* Delthota,
* Hatharaliyadda,
* Akurana,
* Panvila and
* Kundasale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑↑ Udapalatha,
↑↑ Pasbage Korale,
↑↑ Gangawata Korale,
↑↑ Udunuwara and
↑ Ganga Ihala Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Kegalle,,,"↑↑ Yatiyanthota,
↑↑ Ruwanwella,
↑ Rambukkana,
↑ Aranayaka,
↑ Kegalle,
↑ Mawanella,
↑ Bulathkohupitiya,
↑↑ Warakapola,
↑ Dehiowita,
↑↑ Galigamuwa and
↑↑ Deraniyagala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Kurunegala,,,"↑↑ Mallawapitiya,
↑↑ Alawwa,
↑↑ Mawathagama,
↑↑ Polgahawela,
↑↑ Rideegama and
↑ Narammala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Matale,"* Pallepola,
* Matale and
* Yatawatta
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑ Ukuwela and
↑ Rattota
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Nuwara Eliya,"Kotmale,
Walapane,
Hanguranketha and
Ambagamuwa",,
