ප්‍රභලත්වය /அைவு /Magnitude,7.7
ගැඹුර (කි.මී.) /ஆழம் (ைி.மீ) /Depth (Km),14
දිනය /திைதி /Date,15/08/2026
හටගත් වේලාව / இடம்வபற்ற யநைம் /Origin Time,03:28 AM
අක්්ාංශ /அைலாங்கு /Latitude,8.51 S
වේ්ාංශ /வநட்டாங்கு /Longitude,121.39 E
පිහිටීම /அளமெிடம் /Location,"Flores Region, Indonesia"
