River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
0
Level
Rising or
Falling","3 Hr RF
in mm at
12.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,3.40,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.60,5.59,Normal,,1.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.71,12.85,Normal,,6.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.82,1.82,Normal,,8.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.15,2.36,Normal,,8.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.38,1.37,Normal,,4.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.45,1.44,Normal,,5.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.91,2.89,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.47,8.47,Normal,,2.2
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.44,4.46,Normal,,3.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.39,3.40,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.69,6.67,Minor Flood,Falling,1.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.23,3.21,Normal,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.75,2.80,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.34,1.34,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.20,5.20,Alert,,4.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.93,1.90,Normal,,3.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.23,1.20,Normal,,1.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.24,1.31,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.54,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.79,0.79,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.35,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.14,-0.13,Normal,,3.9
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.80,0.80,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.48,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.40,0.40,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.57,0.59,Normal,,1.4
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.00,-3.02,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.80,2.91,Normal,,7.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.93,1.96,Normal,,11.4
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.35,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.81,1.83,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.59,1.60,Normal,,3.1
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.84,1.93,Normal,,0.6
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.69,5.72,Alert,Rising,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.98,3.98,Normal,,4.4
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.06,3.06,Normal,,1.1
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.85,4.84,Minor Flood,Falling,0.8
