දින්‍ය : 2026-05-30,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,34,27,90,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,31,25,95,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,29,25,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,28,85,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,31,23,95,70,වැසි වාර කිහිපයක්
නුවරඑළිය,21,14,95,80,වැසි වාර කිහිපයක්
රත්නපුරය,31,24,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,35,27,85,55,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,32,28,90,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
