River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,2.10,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.84,1.87,Normal,,0.7,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,10.20,10.17,Normal,,1.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.76,1.68,Normal,,8.7,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.44,0.43,Normal,,0.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.96,0.80,Normal,,7.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.79,Normal,,16.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.23,1.33,Normal,,5.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.20,6.18,Normal,,15.5,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.23,2.23,Normal,,24.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.19,3.10,Normal,,2.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.50,4.38,Normal,,9.5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.26,3.23,Normal,,94.4,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.66,1.64,Normal,,9.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.52,0.54,Normal,,2.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.06,2.94,Normal,,2.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.42,0.41,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.06,-0.06,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.70,0.72,Normal,,4.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.30,1.39,Normal,,20.2,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.40,1.38,Normal,,54.,6
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.16,1.11,Normal,,39.4,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,22.7,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.53,0.53,Normal,,1.7,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.13,Normal,,0.4,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.14,0.12,Normal,,5.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.11,-0.10,Normal,,11.1,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-2.88,Normal,,20.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.78,1.62,Normal,,2.7,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.02,1.03,Normal,,3.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.42,0.38,Normal,,0.1,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.87,1.87,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,11.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,34.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.15,-0.15,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.03,2.03,Normal,,0.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.91,0.91,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.25,2.18,Normal,,0.4,
