Areas warned to be go under Effect of floods,,
,D/S Division,Grama Niladhari Division
01,Alawwa,"Galdeniya,Wedeniya,Kanameewala,Pallekekulawala"
02,Dankotuwa,"Jankurawela,Metikotuwa,Dikwela,Etiyawala South, Yogiyana,
Morukkuliya,Godella"
03,Divulapitiya,"Bolagala,Otharawadiya,Ambalayaya,Godigamuwa West,Balawala,
Koradaminna, Pethigoda, Polwatta, Kehelella North, Badalgama,
Kehelella West, Lihiniyagammana,Kehelella South ,Andimulla,
Godigamuwa East, Akarangaha, Alugolla, Kotadeniyawa, Erabadda,
Delpakadawara,Diyagampala,Halpe,Divuldeniya,Paragoda South,
Siringapathawatta,Akaragama North,Thammita,Katukenda,
Delwagura, Akaragama East,Polhena,Mellawagedara,Akaragama
West"
04,Katana,"Muruthana,Katana North, Udangawa, Bambukuliya, Manaweriya,
Katana East"
05,Mirigama,"Nalla,Delwala,Giriullagama,Madurupitiya,Henegama,Hapugahagedar
a,Maladeniya,Pirisyala,Loluwagoda"
06,Narammala,"Marandagolla,Puskoladeniya,Epaladeniya"
07,Negambo,"Pallansena North,Kammalthura,Kochchikade"
08,Pannala,"Nalawalana,Badabedda,Kohombapola,Medirivila,Mattegama,Thamba
kanda,Pahala Galayaya, Balawala, Wellewa, Narangamuwa,
Malgamuwa, Mookalana, Maharagama, Mellawalana, Bopitiya,
Hendiyagala ,Ihala Galayaya"
09,Wennappuwa,"Sindanthriya,Thopputhota,Waikkala North, Aluttota, Thambaravila,
Kammala"
