River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00 Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.60,2.60,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.57,4.56,Normal,,3.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.67,11.71,Normal,,3,,.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.85,Normal,,5.8,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.92,0.93,Normal,,5.9,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.41,1.33,Normal,,4.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.81,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.29,3.27,Alert,Falling,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.39,8.38,Normal,,4.5,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.27,4.21,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.65,3.98,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.86,6.85,Minor Flood,Falling,,1.7,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.13,3.06,Normal,,0.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.16,4.16,Minor Flood,,2,,.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.62,2.62,Minor Flood,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.78,6.78,Minor Flood,,2,,.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.59,2.54,Normal,,0.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.66,1.62,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.11,3.08,Normal,,0.9,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.65,1.64,Normal,,0.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.30,3.28,Normal,,0.0,,,
