දින්‍ය : 2026-06-15,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මඩකලපුව,33,26,85,65,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,31,26,90,75,වැසි වාර කිහිපයක්
ගාල්ල,30,26,95,80,වැසි වාර කිහිපයක්
යාපනය,32,28,85,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,29,21,90,70,වැසි වාර කිහිපයක්
නුවරඑළිය,20,14,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,32,24,95,75,වැසි වාර කිහිපයක්
ිකුණාමලය,35,26,85,60,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මන්නාරම,32,28,85,75,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
