ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -13,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,29,22,95,85,වැසි වොර කිහිපයක්
මඩකලපුව,29,23,95,80,වැසි වොර කිහිපයක්
ගකොළඹ,31,24,95,60,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ෙොල්ල,29,24,90,70,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
යොපනය,28,23,95,80,වැසි වොර කිහිපයක්
මහනුවර,30,21,95,85,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
නුවරඑළිය,18,14,95,85,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
රත්නපුරය,33,23,95,80,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ත්‍රිකුණොමලය,29,23,95,85,වැසි වොර කිහිපයක්
මනනොරම,29,23,95,85,වැසි වොර කිහිපයක්
