River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.25,0.25,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.90,0.92,Normal,,22.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.10,9.05,Normal,,1,3.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.53,Normal,,9.4,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.24,0.24,Normal,,1,3.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.52,0.55,Normal,,22.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.49,0.45,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.49,0.41,Normal,,6.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.58,4.57,Normal,,32.4,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,0.72,0.71,Normal,,2.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.20,1.21,Normal,,9.1,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.83,1.80,Normal,,25.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.49,1.47,Normal,,32.9,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.31,1.31,Normal,,6.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.35,0.33,Normal,,5.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.39,2.37,Normal,,1,6.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.42,0.38,Normal,,3.7,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.00,0.00,Normal,,1,7.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.35,0.35,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.46,-0.46,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.41,0.41,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.76,0.76,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.59,0.59,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.19,0.19,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.44,-1.44,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.30,-0.30,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.21,-3.22,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.58,1.70,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.87,0.86,Normal,,1.8,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.19,0.16,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.44,1.44,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.39,0.39,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.39,0.40,Normal,,6.2,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.13,-0.13,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.24,-0.24,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.96,2.01,Normal,,26.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.91,0.90,Normal,,0.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.78,0.77,Normal,,8.2,,
