දිනය : 2026-01-30,,,,,
නගරය,උෂණ් ත්වය(හෙ. අංශක),,ොහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,30,20,90,65,වැසි සවර ේපයක්
මඩකලපුව,29,23,95,70,වැසි වාර කිහිපයක්
ගකාළඹ,33,23,85,50,ප්‍රධ්‍ාන වශගයන වැසි රහිත
ොේල,30,24,95,70,සවස 4.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,21,95,60,වැසි සවර ේපයක්
මහනුවර,29,18,95,55,සවස 4.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,22,9,90,60,වැසි වාර කිහිපයක්
රත්නපුරය,34,22,95,65,සවස 4.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,29,23,85,65,වැසි වාර කිහිපයක්
මනනාරම,29,23,90,65,වැසි සවර ේපයක්
