River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6.00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.40,3.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.70,5.62,Normal,,0.8,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.90,12.85,Normal,,0.6,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.08,Normal,,16,,,.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.34,1.30,Normal,,1.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.79,1.73,Normal,,,8.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.14,1.14,Normal,,,9.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.85,2.82,Normal,,1.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.00,9.00,Normal,,1.4,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.99,4.95,Normal,,0.7,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.84,3.79,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.56,6.51,Minor Flood,Falling,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.82,3.80,Alert,Falling,5.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.58,2.55,Normal,,2.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.53,Alert,Rising,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.40,5.37,Alert,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.50,1.48,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.70,0.70,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.05,1.04,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.25,0.25,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.29,0.29,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.18,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.84,0.83,Normal,,30.7,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.47,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.32,0.32,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.25,0.21,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.89,-2.93,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.18,3.98,Normal,,1,,2.7,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.30,2.25,Normal,,1,,2.6,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.47,0.46,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.55,1.53,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.45,0.45,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.96,0.96,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.63,1.69,Normal,,0.0,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.82,3.75,Normal,,0.0,,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.40,2.40,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.46,2.40,Normal,,0.0,,,
