River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,2.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.37,3.34,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.94,11.00,Normal,,23.,,9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.18,2.20,Normal,,0.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.04,1.03,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.87,1.39,Normal,,37.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.10,1.14,Normal,,21.,,0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.81,1.82,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.88,7.89,Normal,,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.90,4.06,Normal,,32.2,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.38,2.41,Normal,,,14.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.07,5.06,Alert,Falling,1.9,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.70,3.69,Alert,Falling,1.9,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.33,2.32,Normal,,0.5,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.61,1.61,Alert,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.00,5.00,Alert,,2.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.91,2.01,Normal,,1.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.15,1.14,Normal,,,11.6,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.92,1.93,Alert,Rising,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.85,3.83,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.76,3.73,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.50,2.44,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.88,3.85,Alert,Falling,0.0,,,
