"Page 1 Situat
තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
දිනය /jpfjp / Date : 01st October 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධ්‍යම ලොත
kj;jpa khfhzk
Central",1,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwaraeliya,Fire,2020.08.11,35,125,,,,24,,,,1,35,125,Muththumari Amman Kovil
,,,,,2020.09.26,3,10,,,,1,,,,,,,
,,,,Landslide Risk,2020.09.28,2,10,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,40,145,0,0,0,25,0,0,0,1,35,125,
,2,"මහනුවර
fz;b
Kandy",Yatinuwara,High Wind,2020.09.21-27,2,7,,,,2,,,,,,,
,,,Kundasale,,2020.09.19-22,6,24,,,,6,,,,,,,
,,,Panwila,,2020.09.20-25,4,12,,,,4,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,12,43,0,0,0,12,0,0,0,0,0,0,
,ළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,52,188,0,0,0,37,0,0,0,1,35,125,
"ඌව
Cth khfhzk;
Uva",3,"බදුල්ල
gJs;is
Badulla",Welimada,Fire,2020.08.17,12,54,,,,12,,,,1,12,54,Alakolagala Day Care Centre
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,12,54,0,0,0,12,0,0,0,1,12,54,
,ළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,12,54,0,0,0,12,0,0,0,1,12,54,
"Western
Nky; khfhzk;",4,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Rock Fallen,2020.09.06,16,49,,,,,,,,1,2,8,"Gangarama Temple,
Kosgulana"
බස්ත්‍රනොහිර ලොත,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,49,0,0,0,0,0,0,0,1,2,8,
,ළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,16,49,0,0,0,0,0,0,0,1,2,8,
"නැපෙනහිර ලොත
fpof;F
Eastern",5,"මඩකලපුව
kl;lf;fsg;G
Batticaloa","Eravurpattu, Chenkalady",High Wind,2020.09.26,17,60,,,,,17,,,,,,
,,,,,2020.09.27,2,8,,,,,2,,,,,,
,,,"Manmunai South West
Paddipalai",,2020.09.29,1,2,,,,,1,,,,,,
,,,Porathivupattu Ellavely,,,1,5,,,,,1,,,,,,
,,,"Koralaipattu Central
Alaichenai",,,1,2,,,,,1,,,,,,
,,,"Eravurpattu, Chenkalady",Lightning,2020.09.29,1,4,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,23,81,0,0,0,0,22,0,0,0,0,0,
,6,"ත්‍රීකුණොමලය
jp.kiy
Trincomalee",Thampalakamam,High Wind,"2020.09.21-
2020.09.28",3,16,,,,,3,,,,,,
,,,Verugal,,,1,1,,,,1,,,,,,,
,,,Pathvisripura,,,3,15,,,,,3,,,,,,
,,,Town & Gravets,,,4,12,,,,,4,,,,,,
,,,Kuchcaveli,,,4,14,,,,,4,,,,,,
,,,Seruwila,,,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,62,0,0,0,1,15,0,0,0,0,0,
,ළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,39,143,0,0,0,1,37,0,0,0,0,0,
"උතුරුමැද ලොත
tlkj;jpa
khfhzk
North Central",7,"ප ොපලොන්නරුව
nghyd;dWit
Polonnaruwa",Elahera,High Wind,2020.09.19,1,5,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,ළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
