River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.75,1.95,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.46,3.42,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.24,11.19,Normal,,50.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.75,Normal,,6.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.02,1.03,Normal,,18.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.11,1.08,Normal,,42.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.98,Normal,,19.7,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.68,1.70,Normal,,3.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.48,7.53,Normal,,25.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.79,4.70,Normal,,21.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.37,4.35,Alert,Falling,23.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.24,5.26,Alert,Rising,75,.7
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.17,3.01,Normal,,32.6,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.13,4.13,Minor Flood,,11.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.25,2.24,Minor Flood,Falling,16.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.16,6.18,Minor Flood,Rising,10.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.20,2.22,Normal,,15.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.29,1.25,Normal,,14.3,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.22,1.20,Normal,,31.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.26,1.37,Normal,,5.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.81,0.77,Normal,,146.5,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.80,1.80,Normal,,33.7,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.25,Normal,,55.2,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.30,1.23,Normal,,78,.7
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.82,0.76,Normal,,21.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.22,0.22,Normal,,7.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.91,-0.91,Normal,,74,.7
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.23,0.23,Normal,,74,.7
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.22,-2.26,Normal,,2.3,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.81,2.73,Normal,,88,.8
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.57,1.56,Normal,,8.5,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.89,0.82,Normal,,14.4,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.58,1.57,Normal,,5.3,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.38,0.38,Normal,,7.8,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.33,0.34,Normal,,38.4,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.05,-0.05,Normal,,1.6,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.02,-0.02,Normal,,1.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.04,3.09,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.07,2.07,Normal,,0.9,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.54,3.53,Alert,Falling,1.2,
