River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 am","Water
Level at
06:00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
06:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,2.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.74,3.71,Normal,,0.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.47,11.35,Normal,,60.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.81,1.82,Normal,,3.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.03,1.00,Normal,,,10.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.24,1.13,Normal,,,11.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.98,Normal,,,19.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.31,2.26,Normal,,0.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.15,7.11,Normal,,4.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.69,2.65,Normal,,,11.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.56,2.48,Normal,,,20.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.84,5.80,Alert,Falling,,15.2
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.46,2.44,Normal,,,16.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.62,4.59,Minor Flood,Falling,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.56,2.54,Minor Flood,Falling,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.03,6.02,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.86,1.85,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.07,1.07,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.73,3.85,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.29,3.15,Normal,,2.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.53,2.51,Normal,,1.0,
