දින්‍ය : 2026-02-23,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අෙංශක),,සාපේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,23,90,70,වැසි වාර කිහිපයක්
මඩකලපුව,31,24,85,75,වැසි වාර කිහිපයක්
යකාළඹ,31,24,90,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,30,24,95,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,31,24,95,80,වැසි සරවල්පයක්
මහනුවර,29,21,95,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,21,12,95,80,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
රත්නපුරය,33,23,95,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
ත්‍රිකුණාමලය,31,24,95,70,වැසි සරවල්පයක්
මන්නාරම,31,24,95,85,වැසි සරවල්පයක්
