නැගෙනහිර,,,,"පැ.කි.මි.(25-35) පමණ මඳ
සුළං","පැ.කි.මි.(20-30) පමණ
මඳ සුළං"
,,පැ.කි.මි.(30-40) පමණ,,,
,,දක්වා වන තරමක තද,,,
,,සුළං,,,
සබරගමුව,,පැ.කි.මි.(30-40) පමණ,,"පැ.කි.මි.(25-35) පමණ මඳ
සුළං","පැ.කි.මි.(20-30) පමණ
මඳ සුළං"
,,දක්වා වන තරමක තද,,,
,,සුළං,,,
බස්නාහිර,"විටින් විට පැ.කි.මි.(40-
50) පමණ දක්වා වන
තරමක තද සුළං",විටින් විට පැ.කි.මි.(40-,,"පැ.කි.මි.(25-35) පමණ
දක්වා වන තරමක තද සුළං","පැ.කි.මි.(20-30) පමණ
මඳ සුළං"
,,50) පමණ දක්වා වන,,,
,,තරමක තද සුළං,,,
දකුණ,"පැ.කි.මි.(25-35) පමණ
දක්වා වන තරමක තද
සුළං",,,"පැ.කි.මි.(20-30) පමණ මඳ
සුළං","පැ.කි.මි.(20-30) පමණ
මඳ සුළං"
ඌව,,පැ.කි.මි.(30-40) පමණ,,"පැ.කි.මි.(20-30) පමණ මඳ
සුළං","පැ.කි.මි.(20-30) පමණ
මඳ සුළං"
,,දක්වා වන තරමක තද,,,
,,සුළං,,,
වයඹ,,විටින් විට පැ.කි.මි.(40-,,"පැ.කි.මි.(25-35) පමණ
දක්වා වන තරමක තද සුළං","පැ.කි.මි.(20-30) පමණ
මඳ සුළං"
,,50) පමණ දක්වා වන,,,
,,තරමක තද සුළං,,,
මධ්‍යම,,පැ.කි.මි.(40-50) පමණ,,"පැ.කි.මි.(20-30) පමණ මඳ
සුළං","පැ.කි.මි.(20-30) පමණ
මඳ සුළං"
,,දක්වා වන තරමක තද,,,
,,සුළං,,,
