,,,,,,,,"during the
evening or night.",,
,Puttalam,"Several spells of
showers",,,A few showers,,,,Showers or,
,,,,,,,,,thundershowers,
,,,,,,,,,during the,
,,,,,,,,,evening or night.,
Central,Kandy,,Showers or,,,Showers or,,,Showers or,
,,,thundershowers,,,thundershowers,,,thundershowers,
,,,during the,,,during the,,,during the,
,,,evening or night,,,evening or night.,,,evening or night.,
,Nuwara-Eliya,,Showers or,,,Showers or,,,Showers or,
,,,thundershowers,,,thundershowers,,,thundershowers,
,,,during the,,,during the,,,during the,
,,,evening or night,,,evening or night.,,,evening or night.,
,Matale,"Several spells of
showers",Several spells of,,,Showers or,,,Showers or,
,,,showers,,,thundershowers,,,thundershowers,
,,,,,,during the,,,during the,
,,,,,,evening or night.,,,evening or night.,
