Province,10th Jan.,,,11th Jan.,,,12th Jan.,,
Northern,,Very strong winds at,,"Winds up to
(30-40) kmph at
times",,,"Winds up to
(20-30) kmph at
times",,
,,times about (50-60),,,,,,,
,,kmph and gusting up,,,,,,,
,,to 70 kmph,,,,,,,
North-Central,"Fairly strong winds
(40-50) kmph at times",Fairly strong winds,,,Winds up to,,,Winds up to,
,,(40-50) kmph at times,,,(30-40) kmph at,,,(30-40) kmph at,
,,,,,times,,,times,
Eastern,"Fairly strong winds
(30-40) kmph at times",,,,Winds up to,,,Winds up to,
,,,,,(25-35) kmph at,,,(20-30) kmph at,
,,,,,times,,,times,
