River Basin,Tributary/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at
03.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.20,4.20,Alert,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.20,6.14,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.05,12.90,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.88,Normal,,4.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.40,1.35,Normal,,0.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.49,1.45,Normal,,5.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,1.00,Normal,,1.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.93,3.95,Alert,Rising,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.41,10.41,Alert,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.44,6.39,Alert,Falling,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.23,5.15,Alert,Falling,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.48,8.50,Major Flood,Rising,0.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.30,3.21,Normal,,0.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.77,4.77,Minor Flood,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.45,2.46,Minor Flood,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.46,6.45,Minor Flood,Falling,1,0.6
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.35,2.30,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.50,1.48,Normal,,0.5,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.88,3.85,Normal,,24.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.65,2.58,Normal,,4.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.87,4.86,Minor Flood,Falling,2.0,
