River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.40,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.32,2.31,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.12,10.09,Normal,,0.0,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.73,1.63,Normal,,0.0,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.83,0.83,Normal,,17,,.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.65,0.65,Normal,,0.0,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,1.00,Normal,,2.7,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.90,0.83,Normal,,3.5,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.78,5.75,Normal,,1,3.3,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.97,1.95,Normal,,9.0,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.24,2.19,Normal,,8.5,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.35,3.25,Normal,,3.4,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.80,1.75,Normal,,4.6,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.72,1.71,Normal,,2.5,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.24,1.23,Normal,,6.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.88,3.87,Normal,,5.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.20,1.19,Normal,,0.9,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.88,0.87,Normal,,0.5,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.81,1.81,Normal,,20.,,,0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.49,1.48,Normal,,4.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.26,1.25,Normal,,3.2,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.85,1.85,Normal,,1,3.9,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.12,0.11,Normal,,3.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.33,1.33,Normal,,25.5,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.77,0.77,Normal,,8.2,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.80,0.82,Normal,,34.2,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.12,-0.11,Normal,,5.4,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.02,1.03,Normal,,5.4,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.96,-1.75,Normal,,4.1,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.84,2.88,Normal,,0.0,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.20,1.19,Normal,,0.0,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.77,0.77,Normal,,9.5,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.13,2.12,Normal,,8.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.69,0.69,Normal,,4.7,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.10,2.07,Normal,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.43,0.40,Normal,,0.0,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.37,1.37,Normal,,1.5,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.07,3.06,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.78,1.76,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.26,2.22,Normal,,9.5,,,,
