දින්‍ය : 2026-07-26,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,25,90,50,ප්‍රධාන වශවයේ වැසි රහිත
මඩකලපුව,34,26,90,65,ප්‍රධාන වශවයේ වැසි රහිත
වකාළඹ,31,26,90,65,වැසි ස්වල්පයක්
ගාල්ල,30,27,85,75,වැසි ස්වල්පයක්
යාපනය,33,28,85,65,ප්‍රධාන වශවයේ වැසි රහිත
මහනුවර,29,22,95,60,වැසි ස්වල්පයක්
නුවරඑළිය,21,14,90,65,වැසි ස්වල්පයක්
රත්නපුරය,32,25,95,55,වැසි ස්වල්පයක්
ිකුණාමලය,37,27,80,40,ප්‍රධාන වශවයේ වැසි රහිත
මේනාරම,31,28,95,85,ප්‍රධාන වශවයේ වැසි රහිත
