River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 AM","Water
Level at
9:00 AM",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8:30 AM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.30,0.95,Normal,,-,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,3.15,3.13,Normal,,10.2,,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,11.18,11.03,Normal,,131.7,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.57,Normal,,27.7,,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.00,0.91,Normal,,90.2,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.68,0.61,Normal,,16.2,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.54,0.54,Normal,,14.6,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.47,1.47,Normal,,9.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.26,6.24,Normal,,119.3,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.48,1.41,Normal,,26.4,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.03,4.99,Alert,Falling,6,2.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.69,4.74,Normal,,4,8.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.92,3.00,Normal,,5,0.8,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.10,2.91,Normal,,6,0.3,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.75,0.80,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.35,4.30,Normal,,6.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.02,0.93,Normal,,4,8.9,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.05,-0.05,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.70,0.72,Normal,,30.7,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.43,0.51,Normal,,10.1,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.08,1.06,Normal,,9.6,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.35,Normal,,12.2,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.28,-0.28,Normal,,2.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,5.6,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.13,0.13,Normal,,17.3,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.25,0.25,Normal,,17.8,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.42,-0.43,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.09,-3.09,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.80,1.95,Normal,,3.9,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.06,1.05,Normal,,22.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.31,0.31,Normal,,0.1,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.90,1.87,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.57,0.57,Normal,,17.9,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.01,-0.01,Normal,,15.1,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.21,-0.22,Normal,,26.4,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.83,1.85,Normal,,8.1,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.10,1.15,Normal,,25.2,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.32,3.36,Alert,Rising,114.3,,,
