River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.25,Normal,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.95,1.94,Normal,,0.5,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.07,9.98,Normal,,1.4,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.81,1.83,Normal,,2.5,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.70,0.69,Normal,,,7.3,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.65,0.65,Normal,,,,9.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.79,0.79,Normal,,3.8,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.80,0.70,Normal,,1.0,,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.22,5.21,Normal,,0.0,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.42,1.41,Normal,,0.6,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.63,1.61,Normal,,0.0,,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.75,2.77,Normal,,0.0,,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.87,1.85,Normal,,0.0,,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.71,1.68,Normal,,0.0,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.51,Alert,Falling,0.0,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.43,4.40,Normal,,0.0,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.18,1.17,Normal,,0.0,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.56,0.56,Normal,,0.0,,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.88,0.88,Normal,,3.5,,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.53,Normal,,20.8,,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.70,0.70,Normal,,0.0,,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.44,1.43,Normal,,0.0,,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.09,-0.09,Normal,,0.8,,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.10,1.09,Normal,,2.1,,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.71,0.70,Normal,,13.,,,,8,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.61,0.60,Normal,,0.0,,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.19,-0.20,Normal,,0.0,,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.95,0.94,Normal,,0.0,,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.49,-1.49,Normal,,0.0,,,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.78,2.87,Normal,,3.8,,,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.12,1.12,Normal,,,7.0,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.60,0.59,Normal,,23.0,,,,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.88,0.92,Normal,,0.6,,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.90,1.90,Normal,,3.6,,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.43,0.43,Normal,,1.2,,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.73,1.72,Normal,,1.7,,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.17,0.17,Normal,,11,,,.8,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.57,1.57,Normal,,22.2,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.07,3.05,Normal,,24.2,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.78,1.76,Normal,,17.4,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.70,1.65,Normal,,1,,0.2,,,
