River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.40,3.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.24,6.15,Normal,,48.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.02,12.83,Normal,,76.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.93,2.15,Normal,,29.7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.59,1.54,Normal,,78.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.12,1.10,Normal,,12.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.13,1.13,Normal,,31.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.43,2.43,Normal,,4.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.38,8.35,Normal,,8.3
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.91,3.83,Normal,,2.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.05,2.99,Normal,,14.7
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.00,6.00,Alert,,41.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.28,3.27,Normal,,0.7
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.47,2.46,Normal,,83.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.93,1.93,Minor Flood,,42.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.44,6.38,Minor Flood,Falling,2.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.18,2.14,Normal,,18.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.39,1.38,Normal,,52.4
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.78,2.78,Alert,,8.1
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.67,1.66,Normal,,6.7
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.24,1.25,Normal,,9.1
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.00,1.99,Normal,,50.6
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.98,0.98,Normal,,13.7
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.11,1.10,Normal,,33.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.74,0.74,Normal,,28.2
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.57,0.55,Normal,,13.9
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.31,0.31,Normal,,39.2
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.45,1.45,Normal,,39.2
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.55,-2.58,Normal,,1.5
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.57,2.78,Normal,,45.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.39,1.37,Normal,,32.4
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.77,0.76,Normal,,39.5
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.75,4.53,Normal,,0.8
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.72,0.70,Normal,,6.3
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.59,2.55,Normal,,0.6
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.79,0.80,Normal,,4.5
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.72,2.70,Normal,,0.8
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.32,5.17,Alert,Falling,50.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.49,3.34,Normal,,21.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.20,5.22,Minor Flood,Rising,87.1
