River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 hr RF in
mm at
12:00
midnight",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.50,1.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.80,1.97,Normal,,16.1,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.35,10.46,Normal,,2.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.75,2.10,Normal,,37,.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.49,0.49,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.79,1.46,Normal,,24.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.90,0.87,Normal,,7.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.46,0.41,Normal,,4.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.51,6.51,Normal,,83.7,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.67,2.82,Normal,,8.7,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.74,3.10,Normal,,4.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.70,3.14,Normal,,77.9,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.90,2.03,Normal,,5.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.60,2.52,Normal,,94.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.36,0.38,Normal,,2.9,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.00,4.14,Normal,,13.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.60,2.66,Normal,,10.3,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.30,2.21,Normal,,52,.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.37,1.30,Normal,,39,.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.73,1.96,Normal,,60,.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.20,1.06,Normal,,48,.3,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.25,2.39,Normal,,57,.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.48,2.37,Normal,,21.1,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.82,0.83,Normal,,8.9,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.48,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.13,0.13,Normal,,0.2,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.16,-0.16,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.12,-3.04,Normal,,1.1,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.12,3.00,Normal,,8.4,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.97,Normal,,5.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.29,0.35,Normal,,6.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.85,1.84,Normal,,5.6,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.66,0.66,Normal,,6.7,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.47,1.47,Normal,,1.2,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.04,0.97,Normal,,24.0,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.22,2.22,Normal,,8.6,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.11,1.11,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.23,1.20,Normal,,0.0,,
