River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9.00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.50,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.95,5.00,Normal,,7.5,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.58,13.96,Normal,,48,,.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.15,Normal,,16.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.58,2.52,Normal,,63.3,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.95,1.75,Normal,,98.4,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.20,1.17,Normal,,,30.5,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.80,2.80,Normal,,0.8,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.85,8.84,Normal,,3.7,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.91,4.89,Normal,,,29.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.58,3.67,Normal,,14.2,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.82,6.80,Minor Flood,Falling,1.6,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.51,3.54,Alert,Rising,9.2,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.69,3.56,Normal,,,37.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,12.1,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.38,6.37,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.96,1.96,Normal,,8.8,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.24,1.25,Normal,,8.8,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.39,3.44,Normal,,17.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.75,2.98,Normal,,12.8,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.88,4.90,Minor Flood,Rising,54,,.3,
