දින්‍ය : 2026-02-09,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශ්‍ක),,සාපේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,30,21,90,80,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,30,23,90,80,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,33,23,85,60,ප්‍රධාන වශහයන් වැසි රහිත
ගාල්ල,29,25,90,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,30,21,85,75,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,29,17,90,80,ප්‍රධාන වශහයන් වැසි රහිත
නුවරඑළිය,22,9,90,70,ප්‍රධාන වශහයන් වැසි රහිත
රත්නපුරය,34,23,90,70,ප්‍රධාන වශහයන් වැසි රහිත
ිකුණාමලය,30,21,90,70,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,31,24,90,75,ප්‍රධාන වශහයන් වැසි රහිත
