"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 19th June 2026 at 1000hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk; Muk;gpj;j
jpfjp Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"බස්නාහිර පලාත
Nky; khfhzk
Western",1,"කළුතර
fSj;Jiw
Kalutara",Walallawita,High Wind,"2026.06.04,05,10",7,30,,,,,7,,,,,,
,,,Millaniya,Tree Falling,"2026.07.07,09.14",16,58,,,,,17,,,,,,
,,,Bandaragama,High Wind,"2026.06.07,12",13,47,,,,,12,,,,,,
,,,Kaluthara,High Wind,2026.06.06-15,15,54,,,,,14,,,,,,
,,,Beruwala,High Wind,2626.06.05,5,23,,,,,5,,,,,,
,,,,Lighting,2026.06.06,1,2,,,,,1,,,,,,
,,,Horana,High Wind,"2026.06.07,11,13",12,41,,,,,12,,,,,,
,,,Dodangoda,High Wind,"2026.06.07,11",2,7,,,,,2,,,,,,
,,,Mathugama,High Wind,2026.06.08,10,38,,,,,10,,,,,,
,,,,Heavy Rain,2026.06.12,1,4,,,,,1,,,,,,
,,,Ingiriya,Heavy Rain,"2026.06.10,13",3,8,,,,,3,,,,,,
,,,Bulathsinhala,Heavy Rain,"2026.06.11,12",3,7,,,,,3,,,,,,
,,,Panadura,Heavy Rain,2026.06.11,8,33,,,,,7,,,,,,
,,,,High Wind,2026.06.12,7,31,,,,,7,,,,,,
,,,Madurawala,High Wind,"2026.06.06,14",3,11,,,,,3,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,106,394,0,0,0,0,104,0,0,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,106,394,0,0,0,0,104,0,0,0,0,0,
"නැවෙනහිර පලාත
fpof;F
Eastern",2,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,High Wind,2026.06.13/14,2,4,,,,,2,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,2,4,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,2,4,0,0,0,0,2,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,108,398,0,0,0,0,106,0,0,0,0,0,
ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
