River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 AM","Water
Level at
9:00 AM",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8:30 AM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.70,0.80,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,0.81,0.79,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.19,9.20,Normal,,0.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.61,1.65,Normal,,1.1,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.19,0.18,Normal,,0.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.55,0.55,Normal,,1.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.47,0.46,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.45,0.36,Normal,,0.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.37,4.37,Normal,,0.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.94,0.93,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.98,0.97,Normal,,,5.9
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.95,1.84,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,0.98,0.95,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.14,1.14,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.33,0.30,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.19,2.19,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.32,0.32,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.07,-0.07,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.56,0.56,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.16,0.17,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.65,0.65,Normal,,3.3,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.87,0.87,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.30,-0.30,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.51,0.51,Normal,,15.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.11,0.11,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.18,-0.18,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.34,-3.35,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.98,2.10,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.06,1.05,Normal,,4.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.10,0.10,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.64,1.63,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.48,0.47,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.12,-0.12,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.28,-0.28,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.75,1.75,Normal,,2.6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.72,0.72,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.42,0.42,Normal,,0.5,
