தன்ைியக்ை வரைிக நிக யம்,மரவட்டம்,மகைவீழ்ச்சி (மி.மீ)
கன்யன்,நுவதரலியர,191.0
ைக்ஷபான,நுவதரலியர,187.0
லநரர்ட்டன்,நுவதரலியர,186.0
காசல்ட்ாி,நுவதரலியர,159.0
ககாத்மலை,நுவதரலியர,133.2
டிக்ழகாயா,நுவதரலியர,127.0
