දින්‍ය : 2026-09-12,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,35,26,90,40,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මඩකලපුව,34,26,90,60,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
වකාළඹ,31,27,85,70,වැසි වාර කිහිපයක්
ගාල්ල,30,27,90,80,වැසි වාර කිහිපයක්
යාපනය,34,28,85,60,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,31,20,95,65,වැසි වාර කිහිපයක්
නුවරඑළිය,22,12,90,60,වැසි වාර කිහිපයක්
රත්නපුරය,32,23,95,70,වැසි වාර කිහිපයක්
ිකුණාමලය,37,26,80,45,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,32,28,85,75,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
