River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 p.m",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
p.m",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.31,2.28,Normal,,0.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.19,10.17,Normal,,2.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.90,Normal,,3.6,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.90,0.88,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.74,0.72,Normal,,13.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,0.96,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.76,1.71,Normal,,5.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.60,6.49,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.33,2.35,Normal,,9.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.13,2.13,Normal,,1.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.00,4.93,Normal,,7.,5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.38,3.33,Normal,,0.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.21,2.19,Normal,,1.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.95,1.95,Minor Flood,,14.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.55,5.55,Alert,,7.,3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.56,1.55,Normal,,0.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.98,0.99,Normal,,2.6,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.13,2.12,Normal,,4.6,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.02,3.99,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,6.11,6.04,Alert,Falling,0.3,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.99,2.98,Normal,,0.5,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.71,1.71,Normal,,2.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.18,3.16,Normal,,0.0,,
