River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5.00 am","Water
Level at
6:00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
6:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.00,3.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.91,6.03,Normal,,4.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.25,13.20,Normal,,19,.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.69,Normal,,23,.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.30,2.14,Normal,,40.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.33,1.33,Normal,,29,.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.20,1.16,Normal,,27,.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.10,3.10,Alert,,6.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.67,8.65,Normal,,23,.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.84,4.78,Normal,,11,.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.85,3.81,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.31,7.28,Minor Flood,Falling,6.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.54,3.53,Alert,Falling,2.1,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.65,2.73,Normal,,20,.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.49,1.49,Alert,,0.6,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.86,4.83,Normal,,2.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.46,1.41,Normal,,5.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.80,0.77,Normal,,16,.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.22,1.21,Normal,,0.5,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.58,0.55,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.79,0.79,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.22,-0.22,Normal,,0.4,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.81,0.81,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.40,0.44,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.27,-2.10,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.67,2.71,Normal,,13,.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.87,1.86,Normal,,29,.5,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.38,0.38,Normal,,0.2,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.18,4.14,Normal,,24,.4,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.09,4.11,Normal,,22,.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.53,3.55,Normal,,29,.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.11,5.11,Minor Flood,,35.5,,
