River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9.00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.86,4.92,Normal,,,27.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.00,12.40,Normal,,,25.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.29,2.30,Normal,,57,,.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.45,1.51,Normal,,,19.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,4.38,4.11,Normal,,55,,.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.14,1.10,Normal,,,36.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.53,2.53,Normal,,5.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.76,8.80,Normal,,65,,.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.70,4.19,Normal,,,21.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.58,3.64,Normal,,,32.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.51,6.54,Minor Flood,Rising,,27.9,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.10,3.13,Normal,,8.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.46,3.43,Normal,,80.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.74,1.75,Minor Flood,Rising,79.7,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.20,6.45,Minor Flood,Rising,51,,.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.41,4.66,Alert,Rising,105.9,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,4.20,4.00,Minor Flood,Falling,99.4,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.56,3.50,Normal,,0.0,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.81,3.79,Normal,,,21.9,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.68,2.71,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.79,4.80,Minor Flood,Rising,,37.5,,
