River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at
03.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.55,2.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.78,2.77,Normal,,5.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.88,10.86,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.87,2.00,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.89,0.87,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.00,0.98,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.24,1.25,Normal,,25.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.46,1.49,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.88,6.85,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.07,3.03,Normal,,,8.7
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.25,2.22,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.00,3.97,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.43,3.40,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.33,3.32,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.08,2.08,Minor Flood,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.65,5.63,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.77,1.77,Normal,,2.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.19,1.16,Normal,,1.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.95,2.97,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.77,1.74,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.90,1.92,Normal,,0.0,
