River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water 1
Level
Rising or
Falling","5 hr RF in
mm at
12:00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,2.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.32,3.38,Normal,,12.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.92,12.01,Normal,,33.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.91,1.88,Normal,,21.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.20,2.20,Normal,,44.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.14,1.20,Normal,,9.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.62,1.62,Alert,,51.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.77,1.77,Normal,,54.4,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.34,7.36,Normal,,7.9,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.02,3.88,Normal,,42.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.43,3.47,Normal,,28.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.48,-,,,52.4,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.76,2.78,Normal,,74.3,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.91,1.84,Normal,,21.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.25,1.25,Normal,,35.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.19,4.18,Normal,,28.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.19,1.20,Normal,,6.9,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.66,0.67,Normal,,10.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.37,1.34,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.26,1.31,Normal,,3.7,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.14,1.14,Normal,,26.3,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.78,1.77,Normal,,4.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.16,0.15,Normal,,19.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.55,1.51,Normal,,28.1,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.68,0.69,Normal,,18.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.85,0.73,Normal,,40.6,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.25,1.25,Normal,,18.8,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.48,-1.44,Normal,,7.5,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.86,3.80,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.72,1.67,Normal,,11.1,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.63,0.63,Normal,,4.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.71,2.67,Normal,,1.8,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.62,0.62,Normal,,2.5,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.40,1.40,Normal,,19.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.83,4.80,Alert,Falling,22.0,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.81,3.98,Normal,,58.0,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,4.01,4.33,Normal,,70.4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.11,3.11,Normal,,88.9,
