River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.47,3.41,Normal,,10.1
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.50,11.46,Normal,,14.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.28,Normal,,17.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.06,Normal,,18.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.23,1.22,Normal,,15.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.16,1.16,Normal,,12.2
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.00,1.96,Normal,,0.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.55,7.44,Normal,,7.5
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.48,2.42,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.77,1.77,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.25,4.10,Normal,,1.7
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.83,1.81,Normal,,4.3
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.67,1.67,Normal,,0.4
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.44,Alert,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.92,3.92,Normal,,6.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.18,1.18,Normal,,9.6
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.57,0.56,Normal,,3.3
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.99,0.98,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.04,0.03,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.58,0.58,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.02,1.02,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.30,-0.30,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.86,0.86,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.33,0.33,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.14,0.14,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.93,-0.93,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.21,0.21,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.16,-3.16,Normal,,1.6
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,5.30,5.30,Alert,,16.3
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.30,2.34,Normal,,39.8
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.31,0.31,Normal,,0.0
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.47,1.47,Normal,,20.3
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.57,1.57,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.34,0.34,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.88,0.89,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.03,-0.03,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.28,1.28,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.79,2.77,Normal,,12.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.64,1.63,Normal,,16.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.83,0.83,Normal,,2.6
