River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,2.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.76,5.72,Normal,,35.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.48,13.20,Normal,,85.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.72,1.62,Normal,,82.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.85,1.75,Normal,,70.1,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.91,0.91,Normal,,71.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.22,1.18,Normal,,65.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.20,1.15,Normal,,14.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.32,6.30,Normal,,10.8,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.49,2.43,Normal,,8.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.85,1.80,Normal,,11.7,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,3.22,3.11,Normal,,9.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.13,2.11,Normal,,34.3,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.60,1.59,Normal,,2.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.55,0.50,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.71,2.68,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.62,0.59,Normal,,4.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.13,0.12,Normal,,0.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.88,0.85,Normal,,24.4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.22,1.22,Normal,,52.2,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.29,1.28,Normal,,52.9,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.44,1.41,Normal,,12.3,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.02,-0.03,Normal,,18.4,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.90,0.90,Normal,,12.2,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.89,0.87,Normal,,22.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.90,0.86,Normal,,3.7,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.20,0.20,Normal,,9.3,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.92,-2.94,Normal,,27.2,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.25,3.15,Normal,,60.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.52,1.49,Normal,,53.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.52,0.56,Normal,,21.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.36,1.36,Normal,,12.9,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.61,0.60,Normal,,43.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.45,2.42,Normal,,32.5,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.86,1.78,Normal,,25.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.17,5.33,Alert,Rising,22.1,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,6.32,6.51,Minor Flood,Rising,33.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,6.05,5.71,Alert,Falling,106.9,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.87,2.86,Normal,,39.0,
