River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
Midnight",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,3.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.21,5.48,Normal,,157.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.10,14.19,Normal,,179.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.08,1.91,Normal,,6,7.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.66,1.62,Normal,,7,4.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.27,2.14,Normal,,113.,,4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.02,Normal,,47.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.59,2.59,Normal,,22.9,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.56,8.59,Normal,,7,4.6,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.92,4.89,Normal,,39.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.99,4.97,Alert,Falling,8,3.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.62,6.62,Minor Flood,,29.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.10,3.10,Normal,,2.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.34,2.42,Normal,,42.4,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.11,1.11,Normal,,32.4,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.71,3.69,Normal,,13.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.14,1.16,Normal,,16.1,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.37,0.39,Normal,,24.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.17,1.17,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.44,1.44,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.31,1.31,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.62,1.62,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.86,0.86,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.00,1.07,Normal,,1.6,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.49,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.28,0.28,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.64,0.66,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.82,2.28,Normal,,45.9,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.91,1.84,Normal,,30.6,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.65,0.62,Normal,,0.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.80,2.83,Normal,,7,0.9,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,-,-,,,13.9,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,3.9,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,7,0.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.58,1.66,Normal,,7,8.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.40,4.50,Normal,,106.,,4
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.83,3.88,Normal,,165.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.40,4.48,Minor Flood,Rising,173.8,,
