දින්‍ය : 2026-05-24,,,,,
න්‍ගරය,උෂ්ණත්වය(මස. අංශ්‍ක),,සාමේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,30,26,90,65,වැසි ස්වල්පයක්
මඩකලපුව,33,27,85,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,32,25,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,26,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,33,28,85,75,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,28,24,95,70,විටින් විට වැසි
නුවරඑළිය,19,15,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,32,24,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,33,27,80,50,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,31,28,90,75,වැසි ස්වල්පයක්
