River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
Midnight"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,6.10,6.10,Minor Flood,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.46,8.39,Minor Flood,Falling,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.18,14.15,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.05,2.03,Normal,,3.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.53,1.50,Normal,,1.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.82,1.81,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.92,0.92,Normal,,0.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.38,5.40,Major Flood,Rising,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.76,12.75,Major Flood,Falling,1.6
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,7.80,7.73,Minor Flood,Falling,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.75,5.70,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,11.24,11.24,Major Flood,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.17,5.19,Major Flood,Rising,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.90,3.78,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,3.49,3.49,Major Flood,,0.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,NA,NA,-,-,-
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.41,2.37,Normal,,4.3
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.15,1.15,Normal,,0.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.37,1.35,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.46,0.45,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.73,0.73,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.28,-0.28,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.84,0.84,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.44,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.48,0.48,Normal,,21.5
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.41,0.40,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.49,-2.33,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.30,3.23,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.66,1.64,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.39,0.39,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.52,1.52,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.21,1.21,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.68,1.72,Normal,,1.3
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,5.13,4.96,Normal,,1.9
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.36,3.24,Normal,,1.4
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.84,5.80,Major Flood,Falling,0.0
