River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.85,1.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.21,3.24,Normal,,6.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.23,11.24,Normal,,4.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,35.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.04,1.01,Normal,,31.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.88,0.83,Normal,,5.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.38,1.34,Normal,,39.7,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.13,2.13,Normal,,8.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.33,7.37,Normal,,14.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.83,4.66,Normal,,7.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.65,4.58,Alert,Falling,19.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.11,6.10,Alert,Falling,21.9,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.16,4.17,Minor Flood,Rising,1.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.15,3.86,Normal,,97.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.97,Minor Flood,Rising,10.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.60,6.56,Minor Flood,Falling,0.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.73,2.48,Normal,,32.1,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.40,1.35,Normal,,40.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.64,3.64,Alert,,19.4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.00,1.94,Normal,,83.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.12,1.11,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.43,2.40,Normal,,42.1,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.70,1.70,Normal,,13.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.60,1.60,Normal,,1.3,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.18,1.16,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.21,1.18,Normal,,0.8,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.86,1.89,Normal,,7.3,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,3.00,3.03,Normal,,7.3,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,0.80,0.76,Normal,,5.1,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.89,3.88,Normal,,6.7,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.41,Normal,,13.7,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.99,1.00,Normal,,8.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,7.32,7.33,Alert,Rising,8.1,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.92,1.90,Normal,,8.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,6.61,6.66,Alert,Rising,8.4,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.80,3.80,Normal,,34.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.13,3.10,Normal,,1.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.56,3.56,Normal,,39.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.41,2.39,Normal,,23.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.96,2.92,Normal,,27.7,
