River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water Level 2
Rising or i
Falling","1 Hr RF
n mm at
6.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.72,5.74,Normal,,23.6
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.98,12.91,Normal,,49.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,2.00,Normal,,25.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.09,1.96,Normal,,41.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.52,1.52,Normal,,30.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.39,1.51,Alert,Rising,44.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.02,3.00,Alert,Falling,19.2
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.50,8.50,Normal,,29.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.35,4.35,Normal,,11.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.25,3.25,Normal,,10.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.96,6.84,Minor Flood,Falling,24.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.28,3.27,Normal,,21.6
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.81,2.81,Normal,,28.6
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.62,Alert,Rising,26.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.24,5.22,Alert,Falling,21.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.88,1.97,Normal,,23.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.39,1.30,Normal,,29.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.23,1.23,Normal,,7.7
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.56,0.55,Normal,,8.1
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.78,0.78,Normal,,5.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.31,Normal,,4.3
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,11.4
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.48,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.40,0.41,Normal,,0.5
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.75,0.70,Normal,,0.6
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.36,-2.61,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.75,2.70,Normal,,16.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.96,2.02,Normal,,39.8
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.36,0.36,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.22,5.35,Alert,Rising,67.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.03,4.03,Normal,,50.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.14,3.13,Normal,,40.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.96,4.93,Minor Flood,Falling,35.6
