දින්‍ය : 2026-03-05,,,,,
න්‍ගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,32,23,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,31,25,85,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,31,24,85,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,30,23,80,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,32,22,95,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,30,18,95,40,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,21,9,85,45,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,35,21,90,40,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ත්‍රිකුණොමලය,30,24,85,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,32,23,90,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
