River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
Midnight",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,2.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.11,3.10,Normal,,15,.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.55,10.55,Normal,,3.4,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.96,1.80,Normal,,2.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.72,0.71,Normal,,4.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.97,0.97,Normal,,8.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.81,Normal,,2.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.00,3.99,Alert,Falling,6.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.04,7.98,Normal,,30.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.03,3.16,Normal,,3.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.93,2.91,Normal,,5.1,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.18,7.15,Minor Flood,Falling,5.9,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.02,4.00,Minor Flood,Falling,24.6,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.72,2.79,Normal,,18,.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.93,1.93,Minor Flood,,4.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.27,5.27,Alert,,12.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.75,1.76,Normal,,8.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.26,1.38,Normal,,22.3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.09,1.09,Normal,,8.4,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.42,0.42,Normal,,12.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,2.8,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.35,Normal,,1.9,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.15,Normal,,11.6,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.73,0.73,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.38,Normal,,0.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.29,0.29,Normal,,0.8,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.01,0.03,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.80,-2.68,Normal,,2.3,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.25,2.30,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.25,1.25,Normal,,0.0,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.28,0.28,Normal,,0.7,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.48,0.48,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.07,1.07,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.72,0.72,Normal,,1.3,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.66,2.66,Normal,,5.4,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.40,1.42,Normal,,24.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.18,2.25,Normal,,29.0,,
