ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 - 0 9,,,,,
න්‍ගරය,"උෂ්ණත්වය(කස.
අංශක)",,"සාකේක්ෂ
ආර්රතාවය(%)",,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,28,22,95,70,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
මඩකලපුව,28,23,90,70,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ගකාළඹ,30,23,80,55,"සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති
විය හැක"
ොේල,31,24,95,80,"සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති
විය හැක"
යාපනය,27,24,80,65,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
මහනුවර,26,20,90,75,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
නුවරඑළිය,19,12,95,35,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
රත්නපුරය,32,22,95,60,"සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති
විය හැක"
ිකුණාමලය,28,24,80,70,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
මන්නාරම,28,24,85,70,විටින් විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
