River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6.00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.60,5.79,Normal,,63.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.96,14.19,Normal,,61.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.75,1.75,Normal,,76.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,3.85,3.76,Minor Flood,Falling,93.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.50,1.90,Normal,,53.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.43,1.45,Normal,,61.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.18,3.19,Alert,Rising,21.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.47,8.49,Normal,,7.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.27,5.26,Alert,Falling,39.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.35,4.37,Alert,Rising,22.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.46,7.46,Minor Flood,,48.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.82,3.83,Alert,Rising,20.9,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.10,3.08,Normal,,25.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.51,1.51,Alert,,13.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.27,5.28,Alert,Rising,29.8,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.70,1.85,Normal,,25.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.19,1.17,Normal,,30.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.34,1.37,Normal,,3.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.57,0.57,Normal,,4.4,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.82,0.82,Normal,,2.7,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.31,1.30,Normal,,3.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.16,Normal,,2.2,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.86,0.85,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.53,0.52,Normal,,1.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.43,0.43,Normal,,0.5,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.41,0.46,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.30,-2.35,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.65,3.69,Normal,,54.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.34,2.40,Normal,,86.2,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.40,0.40,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.82,1.81,Normal,,6.5,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,2.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.42,1.42,Normal,,7.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.82,2.90,Normal,,56.9,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.40,3.45,Normal,,40.9,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.73,2.90,Normal,,46.5,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.22,4.35,Alert,Rising,37.0,
